,TI,AB,DP,MH,PMID,mir,is_mir_causal
38,Hsa-miR-520d converts fibroblasts into CD105+ populations.,"BACKGROUND: We have previously shown that hsa-miR-520d-5p can convert cancer cells into induced pluripotent stem cells (iPSCs) or mesenchymal stem cells (MSCs) via a dedifferentiation by a demethylation mechanism. METHODS: We tested the effect of miR-520d-5p on human fibroblasts to determine whether it could be safely used in normal cells for future clinical therapeutic applications. After we transfected the microRNA into fibroblasts, we analyzed the phenotypic changes, gene expression levels, and stemness induction in vitro, and we evaluated tumor formation in an in vivo xenograft model. RESULTS: The transfected fibroblasts turned into CD105+ cell populations, survived approximately 24 weeks, and exhibited increases in both the collagen-producing ability and in differentiation. Combinatorial transfection of small interfering RNAs for miR-520d-5p target genes (ELAVL2, GATAD2B, and TEAD1) produced similar results to miR-520d-5p transfection. These molecules converted normal cells into MSCs and not iPSCs. CONCLUSIONS: In vitro data indicate the potent usefulness of this small molecule as a therapeutic biomaterial in normal cells and cancer cells because CD105+ cells never converted to iPSCs despite repeated transfections and all types of transfectants lost their tumorigenicity. This maintenance of a benign state following miR-520d-5p transfection appears to be caused by p53 upregulation. We conclude that miR-520d-5p may be a useful biomaterial at an in vitro level.",2014 Dec,"['Antigens, CD/*immunology', 'Carcinogenicity Tests', 'Cell Differentiation/drug effects', 'Cell Line', 'Cell Survival', 'Collagen/metabolism', 'DNA-Binding Proteins/antagonists & inhibitors', 'ELAV-Like Protein 2/antagonists & inhibitors', 'Endoglin', 'Fibroblasts/*drug effects/immunology', 'GATA Transcription Factors/antagonists & inhibitors', 'Gene Expression/drug effects', 'Humans', 'Induced Pluripotent Stem Cells/drug effects', 'Mesenchymal Stem Cells/drug effects', 'MicroRNAs/*pharmacology', 'Nuclear Proteins/antagonists & inhibitors', 'Phenotype', 'RNA, Small Interfering/pharmacology', 'Receptors, Cell Surface/*immunology', 'Repressor Proteins', 'TEA Domain Transcription Factors', 'Telomere Homeostasis/drug effects', 'Transcription Factors/antagonists & inhibitors']",25303886,hsa-mir-520d,Yes
6,MicroRNA-95 promotes cell proliferation and targets sorting Nexin 1 in human,"MicroRNAs (miRNAs) are strongly implicated in cancer but their specific roles and functions in the major cancers have yet to be fully elucidated. In this study, we defined the oncogenic significance and function of miR-95, which we found to be elevated in colorectal cancer (CRC) tissues by microarray analysis. Evaluation of an expanded CRC cohort revealed that miR-95 expression was up-regulated in nearly half of the tumors examined (42/87) compared with the corresponding noncancerous tissues. Ectopic overexpression of miR-95 in human CRC cell lines promoted cell growth in vitro and tumorigenicity in vivo, whereas RNAi-mediated silencing of miR-95 decreased cell growth ratio. Mechanistic studies revealed that miR-95 repressed the expression of reporter gene coupled to the 3'-untranslated region of sorting nexin 1 (SNX1), whereas miR-95 silencing up-regulated SNX1 expression. Moreover, miR-95 expression levels correlated inversely with SNX1 protein levels in human CRC tissues. RNAi-mediated knockdown of SNX1 phenocopied the proliferation-promoting effect of miR-95, whereas overexpression of SNX1 blocked miR-95-induced proliferation of CRC cells. Taken together, these results demonstrated that miR-95 increases proliferation by directly targeting SNX1, defining miR-95 as a new oncogenic miRNA in CRC.",2011,"[""3' Untranslated Regions"", 'Animals', 'Cell Growth Processes/genetics', 'Cell Line, Tumor', 'Colorectal Neoplasms/*genetics/metabolism/*pathology', 'Female', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'HCT116 Cells', 'HEK293 Cells', 'Humans', 'Mice', 'MicroRNAs/*biosynthesis/genetics', 'Sorting Nexins/*antagonists & inhibitors/*biosynthesis/genetics', 'Up-Regulation']",21427358,hsa-mir-95,Yes
3,Human miR-5193 Triggers Gene Silencing in Multiple Genotypes of Hepatitis B Virus.,"Hepatitis B virus (HBV) infection can lead to various disease states including asymptomatic, acute hepatitis, chronic hepatitis, liver cirrhosis and hepatocellular carcinoma (HCC), which remain a major health problem worldwide. Previous studies demonstrated that microRNA (miRNAs) plays an important role in viral replication. This study aimed to predict and evaluate human miRNAs targeting multiple genotypes of HBV. Candidate human miRNAs were analyzed by data obtained from miRBase and RNAhybrid. Then miRNAs were selected based on hybridization patterns and minimum free energy (MFE). The silencing effect of miRNA was evaluated by real-time PCR, the luciferase reporter assay and the ELISA assay. Five human miRNAs including miR- 142-5p, miR-384, miR-500b, miR-4731-5p and miR-5193 were found to target several HBV genotypes. Interestingly, miR-5193 was found to be the most potent miRNA that could target against all HBV transcripts in almost all HBV genotypes with a highly stable hybridization pattern (5' canonical with MFE lower than -35 kcal/mol). Moreover, miR-5193 caused significant silencing in luciferase activity (53% reduction), luciferase transcript (60% reduction) and HBV surface antigen (HBsAg) production (20-40% reduction depending on genotypes). Therefore, miR-5193 might be useful and have a vital role for inhibition of HBV replication in the future.",2015,"['Base Sequence', 'Binding Sites', 'Gene Expression', 'Gene Expression Profiling', '*Gene Expression Regulation, Viral', '*Gene Silencing', 'Genes, Reporter', 'Genetic Vectors', '*Genotype', 'Hep G2 Cells', 'Hepatitis B Surface Antigens/biosynthesis/genetics', 'Hepatitis B virus/*genetics/physiology', 'Humans', 'MicroRNAs/chemistry/*genetics', '*RNA Interference', 'RNA, Viral/chemistry/genetics']",26456535,hsa-mir-5193,Yes
290,Longitudinal Examination of the Intestinal Lamina Propria Cellular Compartment of,"Chronic immune activation/inflammation driven by factors like microbial translocation is a key determinant of human immunodeficiency virus/simian immunodeficiency virus (HIV/SIV) disease progression. Although extensive research on inflammation has focused on studying protein regulators, increasing evidence suggests a critical role for microRNAs (miRNAs) in regulating several aspects of the immune/inflammatory response and immune cell proliferation, differentiation, and activation. To understand their immunoregulatory role, we profiled miRNA expression sequentially in intestinal lamina propria leukocytes (LPLs) of eight macaques before and at 21, 90, and 180 days postinfection (dpi). At 21 dpi, ∼20 and 9 miRNAs were up- and downregulated, respectively. However, at 90 dpi (n = 60) and 180 dpi (n = 44), ≥75% of miRNAs showed decreased expression. Notably, the T-cell activation-associated miR-15b, miR-142-3p, miR-142-5p, and miR-150 expression was significantly downregulated at 90 and 180 dpi. Out of ∼10 downregulated miRNAs predicted to regulate CD69, we confirmed miR-92a to directly target CD69. Interestingly, the SIV-induced miR-190b expression was elevated at all time points. Additionally, elevated lipopolysaccharide (LPS)-responsive miR-146b-5p expression at 180 dpi was confirmed in primary intestinal macrophages following LPS treatment in vitro Further, reporter and overexpression assays validated IRAK1 (interleukin-1 receptor 1 kinase) as a direct miR-150 target. Furthermore, IRAK1 protein levels were markedly elevated in intestinal LPLs and epithelium. Finally, blockade of CD8(+) T-cell activation/proliferation with delta-9 tetrahydrocannabinol (Δ(9)-THC) significantly prevented miR-150 downregulation and IRAK1 upregulation. Our findings suggest that miR-150 downregulation during T-cell activation disrupts the translational control of IRAK1, facilitating persistent gastrointestinal (GI) inflammation. Finally, the ability of Δ(9)-THC to block the miR-150-IRAK1 regulatory cascade highlights the potential of cannabinoids to inhibit persistent inflammation/immune activation in HIV/SIV infection. IMPORTANCE: Persistent GI tract disease/inflammation is a cardinal feature of HIV/SIV infection. Increasing evidence points to a critical role for miRNAs in controlling several aspects of the immune/inflammatory response. Here, we show significant dysregulation of miRNA expression exclusively in the intestinal lamina propria cellular compartment through the course of SIV infection. Specifically, the study identified miRNA signatures associated with key pathogenic events, such as viral replication, T-cell activation, and microbial translocation. The T-cell-enriched miR-150 showed significant downregulation throughout SIV infection and was confirmed to target IRAK1, a critical signal-transducing component of the IL-1 receptor and TLR signaling pathways. Reduced miR-150 expression was associated with markedly elevated IRAK1 expression in the intestines of chronically SIV-infected macaques. Finally, Δ(9)-THC-mediated blockade of CD8(+) T-cell activation in vitro significantly inhibited miR-150 downregulation and IRAK1 upregulation, suggesting its potential for targeted immune modulation in HIV infection.",2016,"['Animals', 'Antigens, CD/genetics', 'Antigens, Differentiation, T-Lymphocyte/genetics', 'CD4-Positive T-Lymphocytes/immunology', 'Down-Regulation', 'Gene Expression Profiling', '*Gene Expression Regulation', 'HIV Infections', 'Humans', 'Inflammation/immunology', 'Interleukin-1 Receptor-Associated Kinases/genetics', 'Intestinal Mucosa/immunology/virology', 'Lectins, C-Type/genetics', '*Lymphocyte Activation', 'Macaca mulatta', 'MicroRNAs/biosynthesis/*genetics', 'Signal Transduction', 'Simian Acquired Immunodeficiency Syndrome/*immunology', 'Simian Immunodeficiency Virus/*immunology', 'Up-Regulation', 'Viral Load', 'Virus Replication']",26937033,hsa-mir-15b,No
11,MicroRNAs in cardiac arrhythmia: DNA sequence variation of MiR-1 and MiR-133A in long QT syndrome.,"Long QT syndrome (LQTS) is a genetic cardiac condition associated with prolonged ventricular repolarization, primarily a result of perturbations in cardiac ion channels, which predisposes individuals to life-threatening arrhythmias. Using DNA screening and sequencing methods, over 700 different LQTS-causing mutations have been identified in 13 genes worldwide. Despite this, the genetic cause of 30-50% of LQTS is presently unknown. MicroRNAs (miRNAs) are small ( approximately  22 nucleotides) noncoding RNAs which post-transcriptionally regulate gene expression by binding complementary sequences within messenger RNAs (mRNAs). The human genome encodes over 1800 miRNAs, which target about 60% of human genes. Consequently, miRNAs are likely to regulate many complex processes in the body, indeed aberrant expression of various miRNA species has been implicated in numerous disease states, including cardiovascular diseases. MiR-1 and MiR-133A are the most abundant miRNAs in the heart and have both been reported to regulate cardiac ion channels. We hypothesized that, as a consequence of their role in regulating cardiac ion channels, genetic variation in the genes which encode MiR-1 and MiR-133A might explain some cases of LQTS. Four miRNA genes (miR-1-1, miR-1-2, miR-133a-1 and miR-133a-2), which encode MiR-1 and MiR-133A, were sequenced in 125 LQTS probands. No genetic variants were identified in miR-1-1 or miR-133a-1; but in miR-1-2 we identified a single substitution (n.100A> G) and in miR-133a-2 we identified two substitutions (n.-19G> A and n.98C> T). None of the variants affect the mature miRNA products. Our findings indicate that sequence variants of miR-1-1, miR-1-2, miR-133a-1 and miR-133a-2 are not a cause of LQTS in this cohort.",2014 Sep,"['Arrhythmias, Cardiac/*genetics', 'Base Sequence', 'DNA/*genetics', 'DNA Primers', 'Humans', 'Long QT Syndrome/*genetics', 'MicroRNAs/*genetics', 'Mutation', 'Polymerase Chain Reaction', 'Sequence Alignment']",24809446,hsa-mir-133a-1,No
285,Long Noncoding RNA NEAT1 Aggravates Aβ-Induced Neuronal Damage by Targeting,"PURPOSE: Alzheimer's disease (AD) is the most common neurodegenerative disease, with a rising prevalence worldwide. Long noncoding RNAs (lncRNAs) have been found to play important roles in the development and treatment of AD. However, the exact role of lncRNA nuclear enriched abundant transcript 1 (NEAT1) in neuronal damage in AD is largely unknown. MATERIALS AND METHODS: The AD model was established in SH-SY5Y and SK-N-SH cells via treatment with amyloid β(1-42) (Aβ). The expression of NEAT1 and microRNA-107 (miR-107) was measured by quantitative real-time polymerase chain reaction. Cell viability and apoptosis were detected by MTT assay, immunocytochemistry, and flow cytometry. The expression of phosphorylated tau protein (p-Tau) was measured by Western blot. The interaction between NEAT1 and miR-107 was explored by bioinformatics analysis, luciferase activity, and RNA immunoprecipitation assays. RESULTS: NEAT1 expression was enhanced in Aβ-treated SH-SY5Y and SK-N-SH cells, and its knockdown attenuated Aβ-induced inhibition of viability and promotion of apoptosis and p-Tau levels. NEAT1 was indicated as a decoy of miR-107. miR-107 abundance was reduced in Aβ-treated cells, and its overexpression reversed Aβ-induced injury. Moreover, interference of miR-107 abated silencing of NEAT1-mediated inhibition of neuronal damage in Aβ-treated SH-SY5Y and SK-N-SH cells. CONCLUSION: LncRNA NEAT1 aggravated Aβ-induced neuronal damage by sponging miR-107, indicating a novel avenue for treatment of AD.",2019,"['Alzheimer Disease/*genetics/*pathology', 'Amyloid beta-Peptides/*toxicity', 'Apoptosis/drug effects/genetics', 'Cell Line, Tumor', 'Humans', 'MicroRNAs/*genetics', 'Neurons/*drug effects/*metabolism/pathology', 'Peptide Fragments/*toxicity', 'RNA, Long Noncoding/*genetics']",31250578,hsa-mir-107,No
37,The microRNA‑708‑5p/ZEB1/EMT axis mediates the metastatic potential of osteosarcoma.,"MicroRNA‑708‑5p (miR‑708‑5p) and epithelial‑​to‑mesenchymal transition (EMT) have been widely identified to contribute to the pathogenesis and progression of multiple cancers. However, the connection between miR‑708‑5p and EMT has not been sufficiently clarified. Therefore, our research aimed to investigate the impact of miR‑708‑5p on EMT and the metastasis of osteosarcoma (OS). We first analyzed the differentially expressed microRNAs (DEmiRNAs) from the GSE70367 dataset. We found that the expression of miR‑708‑5p was lower in OS cells. Overexpression of miR‑708‑5p was able to impair the migration and invasion of OS cells. Moreover, miR‑708‑5p inhibited EMT of OS cells MG63 and SaOS‑2, wherein E‑cadherin was increased, and N‑cadherin, vimentin, and Snail were decreased. Semaphorin 4C (SEMA4C), mitogen‑activated protein kinase kinase kinase 3 (MAP3K3), and zinc finger E‑box‑binding homeobox 1 (ZEB1) were predicted as target genes of miR‑708‑5p by bioinformatics method. Only ZEB1, one of the EMT‑inducing transcription factors, was validated as the direct target gene of miR‑708‑5p in OS cells through dual‑luciferase reporter assay and Western blot analysis. Knockdown of ZEB1 was found to inhibit the metastasis of MG63 and SaOS‑2 cells, whereas ZEB1 over-expression promoted their metastasis. In summary, miR‑708‑5p impaired the metastasis and EMT of OS, which was found to be mediated by inhibition of ZEB1.",2020 Feb,"['Bone Neoplasms/*genetics/metabolism/*pathology', 'Cell Line, Tumor', 'Cell Movement', 'Cell Proliferation', 'Epithelial-Mesenchymal Transition', 'Gene Expression Regulation, Neoplastic', 'Humans', 'MicroRNAs/*genetics', 'Neoplasm Metastasis', 'Osteosarcoma/*genetics/metabolism/*pathology', 'Zinc Finger E-box-Binding Homeobox 1/genetics/*metabolism']",31894343,hsa-mir-708,No
183,MicroRNA-320a inhibits breast cancer metastasis by targeting metadherin.,"Dysregulated microRNAs play important pathological roles in carcinogenesis that are yet to be fully elucidated. This study was performed to investigate the biological functions of microRNA-320a (miR-320a) in breast cancer and the underlying mechanisms. Function analyses for cell proliferation, cell cycle, and cell invasion/migration, were conducted after miR-320a silencing and overexpression. The specific target genes of miR-320a were predicted by TargetScan algorithm and then determined by dual luciferase reporter assay and rescue experiment. The relationship between miR-320a and its target genes was explored in human breast cancer tissues. We found that miR-320a overexpression could inhibit breast cancer invasion and migration abilities in vitro, while miR-320a silencing could enhance that. In addition, miR-320a could suppress activity of 3'-untranslated region luciferase of metadherin (MTDH), a potent oncogene. The rescue experiment revealed that MTDH was a functional target of miR-320a. Moreover, we found that MTDH was negatively correlated with miR-320a expression, and it was related to clinical outcomes of breast cancer. Further xenograft experiment also showed that miR-320a could inhibit breast cancer metastasis in vivo. Our findings clearly demonstrate that miR-320a suppresses breast cancer metastasis by directly inhibiting MTDH expression. The present study provides a new insight into anti-oncogenic roles of miR-320a and suggests that miR-320a/MTDH pathway is a putative therapeutic target in breast cancer.",2016 Jun 21,"['Animals', 'Breast Neoplasms/*genetics/metabolism/pathology', 'Cell Adhesion Molecules/*genetics/metabolism', 'Cell Line, Tumor', 'Cell Proliferation', 'Female', 'Gene Expression Regulation, Neoplastic', 'Heterografts', 'Humans', 'Membrane Proteins', 'Mice', 'MicroRNAs/*genetics/metabolism', 'Middle Aged', 'Neoplasm Metastasis', 'RNA-Binding Proteins', 'Transfection']",27229534,hsa-mir-320a,Yes
290,Identifying miRNA/mRNA negative regulation pairs in colorectal cancer.,"Although considerable progress has been made in the molecular biology of Colorectal cancer (CRC), novel approaches are still required to uncover the detailed molecular mechanism of CRC. We aim to explore the potential negatively regulated miRNA-mRNA pairs and investigate their regulatory roles so as to elaborate the potential roles of the critical proteins in the signaling pathways enriched by the differential target genes of negatively regulated miRNA in CRC. Firstly, the differential miRNA-mRNA pairs were selected, followed by pairs of miRNA and their target genes. The obtained relationships were subjected to do functional enrichment analysis and those enriched in CRC pathways were chose to further construct a protein interaction network. Finally, we analyzed the regulatory roles of these relationships and constructed a regulatory network of negatively regulated miRNA and mRNA relationships. A total of 372 pairs of miRNA-mRNA were found and 108 target genes of miRNA were obtained. Three miRNAs including hsa-mir-23b, hsa-mir-365-1 and hsa-mir-365-2 showed significant influence on prognosis of CRC patients. To conclude, the miRNA/mRNA deregulations pairs identified in this study have high potentials to be further applied in diagnosis and treatment of CRC.",2015,"['Adult', 'Colorectal Neoplasms/*genetics/pathology', 'Female', 'Gene Expression Regulation, Neoplastic', 'Gene Regulatory Networks', 'Humans', 'Male', 'MicroRNAs/biosynthesis/*genetics', 'Middle Aged', 'Prognosis', 'RNA, Messenger/*genetics/metabolism', 'Signal Transduction/genetics', 'Survival Analysis']",26269151,hsa-mir-23b,No
41,Identification of a microRNA (miR-663a) induced by ER stress and its target gene PLOD3 by a combined microRNome and proteome approach.,"INTRODUCTION: MicroRNAs (miRs) regulate gene expression to support important physiological functions. Significant evidences suggest that miRs play a crucial role in many pathological events and in the cell response to various stresses. METHODS: With the aim to identify new miRs induced by perturbation of intracellular calcium homeostasis, we analysed miR expression profiles of thapsigargin (TG)-treated cells by microarray. In order to identify miR-663a-regulated genes, we evaluated proteomic changes in miR-663a-overexpressing cells by two-dimensional differential in-gel electrophoresis coupled to mass spectrometric identification of the differentially represented proteins. Microarray and proteomic analyses were supported by biochemical validation. RESULTS: Results of microarray revealed 24 differentially expressed miRs; among them, miR-663a turned out to be by ER stress and under the control of the PERK pathway of the unfolded protein response. Proteomic analysis revealed that PLOD3, which is the gene encoding for collagen-modifying lysyl hydroxylase 3 (LH3), is regulated by miR-663a. Luciferase reporter assays demonstrated that miR-663a indeed reduces LH3 expression by targeting to 3'-UTR of PLOD3 mRNA. Interestingly, miR-663a inhibition of LH3 expression generates reduced extracellular accumulation of type IV collagen, thus suggesting the involvement of miR-663a in modulating collagen 4 secretion in physiological conditions and in response to ER stress. CONCLUSION: The finding of the ER stress-induced PERK-miR-663a pathway may have important implications in the understanding of the molecular mechanisms underlying the function of this miR in normal and/or pathological conditions.",2016 Aug,"['Carcinoma, Hepatocellular/enzymology/genetics', 'Cell Line, Tumor', 'Endoplasmic Reticulum/enzymology/*genetics', 'Gene Expression Regulation', 'HEK293 Cells', 'HeLa Cells', 'Humans', 'Liver Neoplasms/enzymology/genetics', 'MicroRNAs/biosynthesis/*genetics/*metabolism', 'Oligonucleotide Array Sequence Analysis', 'Procollagen-Lysine, 2-Oxoglutarate 5-Dioxygenase/*genetics/metabolism', 'Proteome/genetics/metabolism', 'Stress, Physiological/genetics', 'Transcriptome', 'eIF-2 Kinase/genetics/metabolism']",27233793,hsa-mir-663a,No
237,Systematic evaluation of cancer risk associated with rs2292832 in miR‑149 and,"The aim of this study is to provide a precise quantification for the association between miR-149 T > C (rs2292832) and miR-27a A > G (rs895819) and the risk of cancer. We conducted a systematic literature review and evaluated the quality of included studies based on Newcastle-Ottawa Scale (NOS). Pooled odds ratios (ORs) and corresponding 95% confidence intervals (95% CIs) were calculated to assess the strengths of the associations. We identified 40 studies for pooled analyses. Overall, the results demonstrated that the rs2292832 polymorphism was subtly decrease the risk of breast cancer (CT + CC vs TT: OR = 0.83, 95% CI: 0.70-0.98, P = 0.03; CC vs CT + TT: OR = 0.80, 95% CI: 0.68-0.93, P = 0.00), and the rs895819 polymorphism wasassociated with significantly increased cancer risk in the Asian population (AG + GG vs AA: OR = 1.24, 95% CI: 1.03-1.50, P = 0.02) and in colorectal cancer subgroup (GG vs AA: OR = 1.45, 95% CI: 1.10-1.92, P = 0.00; AG + GG vs AA: OR = 1.35, 95% CI: 1.15-1.58, P = 0.00; GG vs AG + AA: OR = 1.36, 95% CI: 1.04-1.77, P = 0.02). In addition, a subtly decreased risk was observed in the Caucasian population and in breast cancer subgroup. In conclusion, the rs2292832 polymorphism was significantly associated with increased breast cancer risk, and the rs895819 polymorphism contributes to the susceptibility of colorectal and breast cancer.",2016,"['Genetic Predisposition to Disease/*genetics', 'Genotype', 'Humans', 'MicroRNAs/*genetics', 'Neoplasms/*genetics', 'Odds Ratio', 'Polymorphism, Single Nucleotide', 'Risk Factors']",26993779,hsa-mir-27a,No
132,HAS2-AS1 Acts as a Molecular Sponge for miR-137 and Promotes the Invasion and,"This study aims to explore the molecular mechanism by which HAS2-AS1 acts as a ceRNA to promote the invasion and migration of glioma cells, which will provide a novel potential target for the targeted therapy of glioma. Gene expression profiles and corresponding clinical data were accessed from the TCGA_LGG and TCGA_GBM databases and then differential analysis was conducted using the ""edgeR"" package. miRDB, miRTarBase and TargetScan databases were employed to predict target genes and sequentially a ceRNA network was constructed. Quantitative real-time PCR was performed to detect gene expression in glioma cells. Transwell assay was operated to assess cell migratory and invasive abilities. Western blot was conducted to evaluate the protein expression. Dual-luciferase reporter assay and RNA immunoprecipitation experiment were performed to validate the targeting relationship between genes. HAS2-AS1 was markedly upregulated in glioma, and the overall survival time of patients with high HAS2-AS1 expression was significantly shorter than that of patients with low one. Silencing HAS2-AS1 inhibited the migration and invasion of glioma cells, while overexpressing HAS2-AS1 produced opposite results. miR-137 was validated as a direct target of and negatively regulated by HAS2-AS1. Further exploration of the downstream target gene indicated that EZH2 competed with HAS2-AS1 to interact with miR-137. Suppressing miR-137 or up-regulating EZH2 reversed the impact of HAS2-AS1 knockdown on glioma cell invasion and migration. HAS2-AS1 regulates EZH2 by sponging miR-137 for the migratory and invasive abilities of glioma cells, which provides a new idea for exploring metastasis mechanism of glioma.",2020,"['Cell Line', 'Cell Line, Tumor', 'Cell Movement/*genetics', 'Cell Proliferation/genetics', 'Enhancer of Zeste Homolog 2 Protein/*genetics', 'Gene Expression Regulation, Neoplastic/genetics', 'Glioma/genetics/pathology', 'Humans', 'Hyaluronan Synthases/*genetics', 'MicroRNAs/*genetics', 'Neoplasm Invasiveness/*genetics/pathology', 'RNA, Long Noncoding/genetics']",33064966,hsa-mir-137,Yes
706,MicroRNAs in plasma and cerebrospinal fluid as potential markers for Alzheimer's,"The development of Alzheimer's disease (AD) biomarkers remains an unmet challenge, and new approaches that can improve current AD biomarker strategies are needed. Recent reports suggested that microRNA (miRNA) profiling of biological fluids has emerged as a diagnostic tool for several pathologic conditions. In this study, we measured six candidate miRNAs (miR-9, miR-29a, miR-29b, miR-34a, miR-125b, and miR-146a) in plasma and cerebrospinal fluid (CSF) of AD and normal subjects by using quantitative reverse transcriptase-polymerase chain reaction (qRT-PCR) to evaluate their potential usability as AD biomarkers. The qRT-PCR results showed that plasma miR-34a and miR-146a levels, and CSF miR-34a, miR-125b, and miR-146a levels in AD patients were significantly lower than in control subjects. On the other hand, CSF miR-29a and miR-29b levels were significantly higher than in control subjects. Our results provide a possibility that miRNAs detected in plasma and CSF can serve as biomarkers for AD.",2014,"['Age Factors', 'Aged', 'Aged, 80 and over', 'Alzheimer Disease/*blood/*cerebrospinal fluid/diagnosis', 'Amyloid beta-Peptides/cerebrospinal fluid', 'Biomarkers/blood/cerebrospinal fluid', 'Female', 'Humans', 'Male', 'MicroRNAs/*blood/*cerebrospinal fluid', 'Peptide Fragments/cerebrospinal fluid', 'Psychiatric Status Rating Scales', 'Reverse Transcriptase Polymerase Chain Reaction', 'tau Proteins/cerebrospinal fluid']",24157723,hsa-mir-34a,Yes
931,Glial HMOX1 expression promotes central and peripheral α-synuclein dysregulation,"α-Synuclein is a key player in the pathogenesis of Parkinson disease (PD). Expression of human heme oxygenase-1 (HO-1) in astrocytes of GFAP.HMOX1 transgenic (TG) mice between 8.5 and 19 months of age results in a parkinsonian phenotype characterized by neural oxidative stress, nigrostriatal hypodopaminergia associated with locomotor incoordination, and overproduction of α-synuclein. We identified two microRNAs (miR-), miR-153 and miR-223, that negatively regulate α-synuclein in the basal ganglia of male and female GFAP.HMOX1 mice. Serum concentrations of both miRNAs progressively declined in the wild-type (WT) and GFAP.HMOX1 mice between 11 and 19 months of age. Moreover, at each time point surveyed, circulating levels of miR-153 were significantly lower in the TG animals compared to WT controls, while α-synuclein protein concentrations were elevated in erythrocytes of the GFAP.HMOX1 mice at 19 months of age relative to WT values. Primary WT neurons co-cultured with GFAP.HMOX1 astrocytes exhibited enhanced protein oxidation, mitophagy and apoptosis, aberrant expression of genes regulating the dopaminergic phenotype, and an imbalance in gene expression profiles governing mitochondrial fission and fusion. Many, but not all, of these neuronal abnormalities were abrogated by small interfering RNA (siRNA) knockdown of α-synuclein, implicating α-synuclein as a potent, albeit partial, mediator of HO-1's neurodystrophic effects in these parkinsonian mice. Overexpression of HO-1 in stressed astroglia has previously been documented in the substantia nigra of idiopathic PD and may promote α-synuclein production and toxicity by downmodulating miR-153 and/or miR-223 both within the CNS and in peripheral tissues.",2019,"['Animals', 'Apoptosis/physiology', 'Brain/metabolism/pathology', 'Cells, Cultured', 'Coculture Techniques', 'Erythrocytes/metabolism', 'Female', 'Gene Expression', 'Heme Oxygenase-1/genetics/*metabolism', 'Humans', 'Male', 'Membrane Proteins/metabolism', 'Mice, Transgenic', 'MicroRNAs/metabolism', 'Mitochondria/metabolism', 'Neuroglia/*metabolism', 'Neurons/metabolism/pathology', 'Oxidative Stress/physiology', 'Parkinsonian Disorders/*metabolism', 'alpha-Synuclein/*metabolism']",31180611,hsa-mir-223,Yes
611,MicroRNA Expression Analysis of Centenarians and Rheumatoid Arthritis Patients,"Micro-RNA (miRNA) are a family of small non-coding ribonucleic acids that inhibits post-transcriptionally the expression of their target messenger RNA (mRNA). We are interested in studying the involvement of miRNA in longevity and autoimmune diseases. In this study we compared the different expression of seven microRNAs between human plasma healthy controls, plasma samples of centenarians and samples from patients with rheumatoid arthritis. We used the Life Technologies' protocol to quantify seven miRNAs from 62 plasma samples: 20 healthy human controls, 14 centenarians, 28 patients with rheumatoid arthritis. TaqMan MicroRNA assays were used to analyze the expression profiles of miR-125b-5p, miR-425-5p, miR-200b5p, miR-200c-3p, miR-579-3p, miR-212-3p, miR-21-5p and miR-126-3p. The relative expression of mature miRNAs was analyzed using software REST. Our results show that miR-425-5p, miR-21 and miR-212 significantly decreased in centenarians and in patients with rheumatoid arthritis compared with controls. Furthermore in this work we highlight a connection between corticosteroid treatment and miRNAs expression.",2017,"['Aged, 80 and over', 'Arthritis, Rheumatoid/blood/*genetics/pathology', 'Female', 'Gene Expression Profiling', 'Gene Expression Regulation/*genetics', 'Humans', 'Longevity/genetics', 'Male', 'MicroRNAs/*genetics', 'RNA, Messenger/genetics']",28824293,hsa-mir-200c,No
