TI,AB,DP,MH,PMID,mir,is_mir_causal,note
Long Noncoding RNA LINC00460 Promotes Cell Progression by Sponging miR-4443 in Head and Neck Squamous Cell Carcinoma.,"Head and neck squamous cell carcinoma (HNSCC) is one of the most common cancers worldwide. Long noncoding RNAs were proved to be associated with the development and progression in HNSCC. However, the mechanism of LINC00460 in HNSCC needs to be further investigated. The study used quantitative real-time polymerase chain reaction assay to detect the expression of LINC00460 in cancer tissues and cell lines. Gain and loss of function experiments were conducted to analyze the effects of LINC00460 and miR-4443 on cell proliferation, invasion, and apoptosis of HNSCC cells in vitro. The interactions among miR-4443 and LINC00460 were detected by dual-luciferase reporter assay. Here, the study showed that LINC00460 was highly expressed in HNSCC tissues and cell lines. Functionally, knockdown of LINC00460 inhibited HNSCC cell proliferation and migration in vitro. Besides, LINC00460 promoted cell progression by sponging miR-4443, and miR-4443 inhibitor could reverse the effects of si-LINC00460 on cell proliferation and migration. In summary, LINC00460 could potentially promote cell progression and epithelial mesenchymal transition by sponging miR-4443 in HNSCC. LINC00460 could be used as a potential therapeutic target for HNSCCs.",2020 Jan-Dec,"['Cell Line, Tumor', 'Cell Proliferation', 'Disease Progression', 'Head and Neck Neoplasms/genetics/*metabolism/pathology', 'Humans', 'MicroRNAs/genetics/*metabolism', 'RNA, Long Noncoding/*metabolism', 'Squamous Cell Carcinoma of Head and Neck/genetics/*metabolism/pathology', 'Transfection']",32478564,hsa-mir-4443,yes,intermediate cellular phenotype
Significance of Polymorphism and Expression of miR-146a and NFkB1 Genetic,"MicroRNA-146a (miR-146a) has been shown to play an important role in the regulation of inflammatory innate immune responses, and found to be differentially expressed in rheumatoid arthritis (RA). Through NF-?§B pathway, this molecule is able to stimulate the release of pro-inflammatory cytokines such as TNF-?с, IL-1?э, and IL-17. It has been also suggested that single-nucleotide polymorphisms (SNPs) in miRNA sequences may alter miRNA expression and that miR-146a rs2910164 SNP may contribute to RA development. These observations prompted us to analyze the potential associations between the miR-146a-3p (rs2910164, G > C) and NFkB1 (rs28362491, ins/del ATTG) polymorphisms and miR-146a-5p expression in patients' sera in relation to clinical outcome of the treatment as well as predisposition to RA. Genotyping was performed in 111 patients and 130 healthy individuals while 16 controls and 13 RA patients (before and after three months of therapy with TNF-?с inhibitors (TNFi)) were studied for the circulating miR-146a-5p serum expression level. Patients carrying the NFkB1 ins/ins genotype were characterized by worse response to TNFi treatment (p = 0.023). In patients, before TNFi therapy, expression levels of miR-146a-5p were less (0.422 ?с 0.171) as compared to those detected after three months of treatment (1.809 ?с 0.658, p = 0.033) and observed for healthy controls (5.302 ?с 2.112, p = 0.048). Moreover, patients with higher circulating miR-146a-5p levels after three months of TNFi administration were more frequently carrying the rs2910164-C allele (p = 0.032). These results support the hypothesis that miR-146a might be involved in pathogenesis of RA and imply that miR-146a-3p polymorphism may be associated with miR-146a-5p levels in serum after anti-TNF-?с treatment.",2016,"['Alleles', 'Arthritis, Rheumatoid/*genetics', 'Genetic Predisposition to Disease', 'Genotype', 'Humans', 'Immunity, Innate', 'Inflammation', 'MicroRNAs/*genetics', 'NF-kappa B p50 Subunit/*genetics', 'Polymerase Chain Reaction', '*Polymorphism, Single Nucleotide', 'Tumor Necrosis Factor-alpha/antagonists & inhibitors']",28083614,hsa-mir-146a,no,
miR-4461 inhibits the progression of Gallbladder carcinoma via regulating EGFR/AKT signaling.,"Increasing evidence has demonstrated that microRNAs (miRNAs) participated in the tumorigenesis, progression and recurrence of various malignancies including Gallbladder carcinoma (GBC). miR-4461 was reported to work as a tumor suppressor gene in renal cell carcinoma. However, the role of miR-4461 in GBC remains unknown. Herein, we show that miR-4461 is downregulated in gallbladder cancer stem cells (CSCs). Forced miR-4461 expression attenuates the self-renewal, tumorigenicity of gallbladder CSCs, and inhibits proliferation and metastasis of GBC cells. Conversely, miR-4461 knockdown promotes the self-renewal of gallbladder CSCs, and facilities proliferation and metastasis of GBC cells. Mechanistically, miR-4461 inhibits GBC progression via downregulating EGFR/AKT pathway. Special EGFR siRNA or AKT overexpression virus abolishes the discrepancy of self-renewal, tumorigenesis, growth, and metastasis between miR-4461 overexpression GBC cells and their control cells. In conclusion, miR-4461 suppresses GBC cells self-renewal, tumorigenicity, proliferation, and metastasis by inactivating EGFR/AKT signaling, and may therefore prove to be a potential therapeutic target for GBC patients.",2022 Jun,"['Carcinogenesis/genetics', 'Cell Line, Tumor', 'Cell Proliferation/genetics', 'Cell Transformation, Neoplastic', 'ErbB Receptors/genetics/metabolism', '*Gallbladder Neoplasms/genetics/metabolism/pathology', 'Humans', '*MicroRNAs/genetics/metabolism', '*Proto-Oncogene Proteins c-akt/metabolism']",35196196,hsa-mir-4461,yes,
An alternative microRNA-mediated post-transcriptional regulation of GADD45A by p53 in human non-small-cell lung cancer cells.,"GADD45A (growth arrest and DNA damage inducible alpha), a stress response gene induced by genotoxic and nongenotoxic stresses, is implicated in various key processes, including the control of cell cycle checkpoints and DNA repair. The expression of GADD45A is directly regulated by numerous transcription factors, with p53 being the most representative. Moreover, post-transcriptional regulation also plays a role in GADD45A expression. However, little is known about the regulatory effects of microRNAs (miRNAs) on GADD45A expression. As a potential tumour suppressor, miR-138 has pleiotropic biological functions in various cancers. We have previously reported p53-mediated activation of miR-138 in human non-small-cell lung cancer (NSCLC) cells. In this study, we found that miR-138 specifically targeted AGO2, which affects the stability and maturation of miR-130b. Decreased expression of miR-130b promoted the expression of GADD45A and resulted in the G2/M phase arrest and proliferation inhibition in human NSCLC cells. Our results suggested that p53 could alternatively upregulate GADD45A in human NSCLC cells through a post-transcriptional pathway in which miR-138 is involved.",2017 Aug 2,"[""3' Untranslated Regions"", 'Argonaute Proteins/genetics', 'Carcinoma, Non-Small-Cell Lung/*genetics/*metabolism', 'Cell Cycle Proteins/*genetics', 'Cell Line, Tumor', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Lung Neoplasms/*genetics/*metabolism', 'MicroRNAs/*genetics', 'Models, Biological', 'Nuclear Proteins/*genetics', 'RNA Interference', 'RNA Processing, Post-Transcriptional', 'Signal Transduction', 'Tumor Suppressor Protein p53/*metabolism']",28769054,hsa-mir-130b,yes,
CRISPR/Cas12a Coupling with Magnetic Nanoparticles and Cascaded Strand,"Exosomal MicroRNA-21 (miRNA-21, miR-21) is significantly up-regulated in blood samples of patients with lung cancer. Exosomal-derived miR-21 can be used as a promising biomarker for the early diagnosis of lung cancer. This paper develops a fluorescent biosensor based on the combination of magnetic nanoparticles (MNPs), cascade strand displacement reaction (CSDR) and CRISPR/Cas12a to detect the exosomal miR-21 from lung cancer. The powerful separation performance of MNPs can eliminate the potential interference of matrix and reduce the background signal, which is very beneficial for the improvement of specificity and sensitivity. The CSDR can specifically transform one miR-21 into plenty of DNA which can specifically trigger the trans-cleavage nuclease activity of Cas12a, resulting in the cleavage of ssDNA bi-labeled with fluorescent and a quencher. Under the optimized experimental conditions, the developed fluorescence biosensor exhibited high sensitivity and specificity towards the determination of exosomal-derived miR-21 with a linear range from 10 to 1 ?? 10(5) fM and a low detection limit of about 0.89 fM. Most importantly, this method can be successfully applied to distinguish the exosomal miR-21 from the lung cancer patients and the healthy people.",2022,"['*Biosensing Techniques/methods', 'CRISPR-Cas Systems', 'Humans', '*Lung Neoplasms/diagnosis/genetics', '*Magnetite Nanoparticles', '*MicroRNAs/genetics']",36014577,hsa-mir-21,no,
MicroRNA miR-497 is closely associated with poor prognosis in patients with,"Cerebral ischemic stroke (CIS) is the most common type of stroke, which is highly hazardous. This investigation aims to analyze the correlation of miR-497 with CIS, so as to provide reliable evidence for clinical response to CIS and lay a solid foundation for follow-up research. Eighty-nine CIS patients and 39 concurrent physical examinees selected between June 2017 and October 2018 were enrolled as the research participants. Additionally, SD rats with increased miR-497 expression and normal SD rats were purchased for CIS modeling to observe the clinical implications of miR-497 in CIS, as well as the water content of brain tissue and neuronal apoptosis of rats. miR-497 expression was lower in CIS patients than in physical examinees, and that in patients with complete stroke (CS) was the lowest, which increased after treatment. As determined by the receiver operating characteristic curve (ROC) analysis, miR-497 had an outstanding diagnostic efficacy for CIS and was negatively correlated with the National Institutes of Health Stroke Scale (NIHSS) and MDA concentration, while positively related to SOD concentration. Prognostic follow-up demonstrated that decreased miR-497 expression in patients after treatment predicted an increased risk of prognostic death and recurrence. However, observed in rats, the water content of the brain tissue of rats with increased miR-497 expression was reduced, and the neuronal apoptosis rate of the brain tissue was inhibited. Taken together, with low expression in CIS, miR-497 is strongly related to CIS progression and is a candidate CIS marker.",2021,"['Aged', 'Animals', 'Apoptosis/genetics', 'Brain/cytology/metabolism', 'Female', 'Humans', '*Ischemic Stroke/diagnosis/genetics/metabolism/mortality', 'Male', 'MicroRNAs/blood/*genetics/metabolism', 'Middle Aged', 'Oxidative Stress/genetics', 'Prognosis', 'Rats', 'Rats, Sprague-Dawley']",34152256,hsa-mir-497,no,
Detection of platelet microRNA expression in patients with diabetes mellitus with,"AIMS: The objective of this study was to investigate the role of plasma and platelet microRNAs in the occurrence of ischemic stroke in patients with diabetes mellitus. METHODS: miR-223, miR-146a, miR-495, and miR-107 expression in the plasma and platelets, blood glucose concentration, and platelet activation rate were measured in patients with diabetes mellitus and ischemic stroke, diabetes mellitus only, ischemic stroke only, and healthy controls. Platelet activity was measured by flow cytometric measurement of P-selectin expression, while miRNA was measured by real-time PCR. RESULTS: The expressions of platelet and plasma miR-223 and miR-146a were significantly downregulated in patients with ischemic stroke and diabetes mellitus or diabetes mellitus only, but not in patients with ischemic stroke only compared to healthy controls. The expressions of platelet and plasma miR-495 and miR-107 showed no significant differences among these four groups. The expression of platelet miR-223 and miR-146a significantly correlated with plasma miR-223 and miR-146a levels, blood glucose concentration, and platelet activation rate. CONCLUSIONS: Hyperglycemia may downregulate the expressions of miR-223 and miR-146a, leading to subsequent platelet activation in patients with diabetes mellitus. Low platelet and plasma miR-223 and miR-146a expression is a risk factor for ischemic stroke in Chinese diabetes mellitus patients.",2014,"['Adult', 'Blood Cells/metabolism', 'Blood Platelets/*metabolism', 'Brain Ischemia/blood/complications/*genetics', 'Case-Control Studies', 'Diabetes Complications/blood/genetics', 'Diabetes Mellitus/blood/*genetics', 'Gene Expression', 'Humans', 'Male', 'MicroRNAs/*genetics/metabolism', 'Middle Aged', 'Stroke/blood/complications/*genetics']",24908639,hsa-mir-146a,no,
Functional role of microRNA-500a-3P-loaded liposomes in the treatment of cisplatin-induced AKI.,"Cisplatin treatment results in acute kidney injury (AKI) by the phosphorylation of mixed lineage kinase domain-like protein (MLKL). The knockout of MLKL, which is a principle mediator of necroptosis, is believed to alleviate the AKI symptoms. The present study was aimed to improve the therapeutic efficacy in AKI. For this purpose, miR-500a-3P was identified as appropriate miRNA therapeutics and loaded in liposome delivery carrier. The authors have showed that the miR-LIP directly controls the expression of RIPK3 and MLKL - a modulator of necroptosis and thereby reduces the severity of kidney injury. The miR-LIP significantly controlled the phosphorylation of MLKL compared to that of CDDP-treated HK2 cells. Similar results are observed with RIPK3. The miR-LIP has also been demonstrated to control the inflammatory response in tubular cells. Western blot analysis further revealed that the phosphorylation of P-65 was mainly responsible for the inflammatory response and miR-LIP significantly decreased the CDDP-induced NF-kB phosphorylation. Overall, the present study explored the molecular mechanism behind the necroptosis in AKI and potential of miRNA in targeting MLKL pathways. Study further highlights the potential advantage of liposome as a delivery carrier for miRNA therapeutics.",2020 Aug,"['*Acute Kidney Injury/chemically induced/metabolism', 'Apoptosis/drug effects', 'Cell Line', 'Cisplatin/*toxicity', 'Gene Knockout Techniques', 'Humans', '*Liposomes/chemistry/pharmacology', '*MicroRNAs/chemistry/pharmacology', '*Models, Biological', 'Phosphorylation', 'Protein Kinases/genetics/metabolism']",32755955,hsa-mir-500a,no,
Endocervical miRNA Expression Profiles in Women Positive for Chlamydia,"Chlamydia trachomatis is the leading cause of sexually transmitted infections that may progress to pelvic inflammatory disease and infertility. No effective vaccine exists for Chlamydia, nor are there biomarkers available that readily predict disease progression. In this cross-sectional pilot study, we recruited symptomatic and asymptomatic women with C. trachomatis (CT) infection and asymptomatic, uninfected control women from an urban sexually transmitted disease clinic to determine if there were differences in microRNA (miRNA) expression. Infected women with signs and/or symptoms (CTSS) have distinct miRNA profiles compared to asymptomatic infected women (CTNS). In the CTSS group, miR-142 and -147 showed 2.2- to 6.9-fold increases in expression. In the CTNS group, miR-449c, -6779, -519d, -449a, and -2467 showed 3.9- to 9.0-fold increases in expression. In the CTNS group, cyclins and cell cycle regulation and IL-17 pathways were likely downregulated, while the same signaling pathways were upregulated in the CTSS group. In addition, in the CTSS group, additional inflammatory pathways associated with TNFR1 and IL-8 appear to be upregulated. The miRNA expression patterns differ between CT-infected symptomatic and asymptomatic women, and these differences may warrant further study.",2020,"['Adolescent', 'Adult', 'Asymptomatic Infections', 'Biomarkers/metabolism', 'Cervix Uteri/*metabolism', 'Chlamydia Infections/diagnosis/genetics/metabolism/*pathology', 'Chlamydia trachomatis/isolation & purification/*pathogenicity', 'Cross-Sectional Studies', 'Female', 'Gene Expression Profiling', 'Humans', 'MicroRNAs/genetics/*metabolism', 'Pilot Projects', 'Young Adult']",32690634,hsa-mir-142,no,
A six-microRNA panel in plasma was identified as a potential biomarker for lung,"Differently expressed microRNAs (miRNAs) in the plasma of lung adenocarcinoma (LA) patients might serve as biomarkers for LA detection. MiRNA expression profiling was performed using Exiqon panels followed by the verification (30 LA VS. 10 healthy controls (HCs)) with quantitative reverse transcription polymerase chain reaction (qRT-PCR) in the screening phase. Identified miRNAs were confirmed through training (42 LA VS. 32 HCs) and testing stages (66 LA VS. 62 HCs) by using qRT-PCR based absolute quantification methods. A total of six up-regulated plasma miRNAs (miR-19b-3p, miR-21-5p, miR-221-3p, miR-409-3p, miR-425-5p and miR-584-5p) were identified. The six-miRNA panel could discriminate LA patients from HCs with areas under the receiver operating characteristic curve of 0.72, 0.74 and 0.84 for the training, testing and the external validation stage (33 LA VS. 30 HCs), respectively. All the miRNAs identified except miR-584-5p were significantly up-regulated in LA tissues. MiR-19-3p, miR-21-5p, miR-409-3p and miR-425-5p showed high expression in arterial plasma with borderline significance. Additionally, miR-19-3p, miR-21-5p and miR-221-3p were significantly up-regulated in exosomes extracted from LA peripheral plasma samples. In conclusion, we identified a six-miRNA panel in peripheral plasma which might give assistance to the detection of LA at least for Asian population to a certain extent.",2017,"['Adenocarcinoma/blood/*diagnosis/ethnology/*genetics', 'Adenocarcinoma of Lung', 'Area Under Curve', 'Asian People/genetics', 'Biomarkers, Tumor/blood/*genetics', 'Case-Control Studies', 'China', 'Circulating MicroRNA/blood/*genetics', 'Female', 'Gene Expression Profiling/*methods', 'Genetic Predisposition to Disease', 'Humans', 'Lung Neoplasms/blood/*diagnosis/ethnology/*genetics', 'Male', 'Middle Aged', 'Phenotype', 'Predictive Value of Tests', 'ROC Curve', 'Reproducibility of Results', 'Reverse Transcriptase Polymerase Chain Reaction', 'Risk Factors', '*Transcriptome']",28036284,hsa-mir-221,no,
Identification of Key Genes and miRNAs Affecting Osteosarcoma Based on Bioinformatics.,"METHODS: GSE70367 and GSE69470 were obtained from the GEO database. The differentially expressed genes (DEGs) and miRNAs were analyzed using the GEO2R tool and then visualized with R software. Moreover, the targets of the miRNAs in the DEGs were screened and then used for enrichment analysis. Besides, the STRING database and Cytoscape were applied to illustrate the protein-protein interaction network. RT-qPCR was performed to measure the expression of key genes and miRNAs. Western blot was applied to detect the signaling pathway. RESULTS: 9 upregulated genes and 39 downregulated genes in GSE69470 were identified as the DEGs, and 31 upregulated genes and 56 downregulated genes in GSE70367 were identified as the DEGs. Moreover, 21 common genes were found in the DEGs of GSE70367 and GSE69470. The enrichment analysis showed that the common DEGs of GSE70367 and GSE69470 were related with cell development, covalent chromatin modification, and histone modification and involve in the regulation of MAPK, mTOR, and AMPK pathways. Besides, the miRNAs including miR-543, miR-495-3p, miR-433-3p, miR-381-3p, miR-301a-3p, miR-199b-5p, and miR-125b-5p were identified as the biomarkers of osteosarcoma. In addition, the target genes including HSPA5, PPARG, MAPK14, RAB11A, RAB5A, MAPK8, LEF1, HIF1A, CAV1, GS3KB, FOXO3, IGF1, and NFKBIA were identified as hub nodes. It was found that miR-301a-3p expression was decreased and mRNA expression of RAB5A and NFKBIA was increased in the pathological tissues. The AKT-PI3K-mTOR signaling pathway was activated in pathological tissues. CONCLUSION: In this study, 7 miRNAs and 13 hub genes were identified, which might be candidate markers. miR-301a-3p, RAB5A, and NFKBIA were abnormally expressed in osteosarcoma tissues.",2022,"['Humans', '*Bone Neoplasms/genetics', 'Computational Biology', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'Gene Regulatory Networks', '*MicroRNAs/genetics/metabolism', '*Osteosarcoma/genetics', 'TOR Serine-Threonine Kinases/metabolism']",36438897,hsa-mir-199b,no,
Detection of microRNA as novel biomarkers of epithelial ovarian cancer from the,"OBJECTIVE: MicroRNA (miRNA) is an abundant class of small noncoding RNAs that act as gene regulators. Recent studies have suggested that miRNA deregulation is associated with the initiation and progression of human cancer. However, information about cancer-related miRNA is mostly limited to tissue miRNA. The aim of this study was to find specific profiles of serum-derived miRNAs of ovarian cancer based on a comparative study using a miRNA microarray of serum, tissue, and ascites. METHODS: From 2 ovarian cancer patients and a healthy control, total RNA was isolated from their serum, tissue, and ascites, respectively, and analyzed by a microarray. Under the comparative study of each miRNA microarray, we sorted out several miRNAs showing a consistent regulation tendency throughout all 3 specimens and the greatest range of alteration in serum as potential biomarkers. The availability of biomarkers was confirmed by qRT-PCR of 18 patients and 12 controls. RESULTS: Out of 2222 kinds of total miRNAs that were identified in the microarray analysis, 95 miRNAs were down-regulated and 88 miRNAs were up-regulated, in the serum, tissue, and ascites of cancer patients. Among the miRNAs that showed a consistent regulation tendency through all specimens and showed more than a 2-fold difference in serum, 5 miRNAs (miR-132, miR-26a, let-7b, miR-145, and miR-143) were determined as the 5 most markedly down-regulated miRNAs in the serum from ovarian cancer patients with respect to those of controls. Four miRNAs (miR-132, miR-26a, let-7b, and miR-145) out of 5 selected miRNAs were significantly underexpressed in the serum of ovarian cancer patients in qRT-PCR. CONCLUSIONS: Serum miR-132, miR-26a, let-7b, and miR-145 could be considered as potential candidates as novel biomarkers in serous ovarian cancer. Also, serum miRNAs is a promising and useful tool for discriminating between controls and patients with serous ovarian cancer.",2013,"['Adult', 'Aged', 'Ascites/blood', 'Biomarkers, Tumor/*blood', 'Case-Control Studies', 'Cystadenocarcinoma, Serous/*blood', 'Female', 'Humans', 'MicroRNAs/*blood', 'Middle Aged', 'Oligonucleotide Array Sequence Analysis', 'Ovarian Neoplasms/*blood', 'Reverse Transcriptase Polymerase Chain Reaction']",23542579,hsa-let-7b,no,
Acute strength training promotes responses in whole blood circulating levels of,"Type 2 diabetes mellitus (T2DM) consists of a set of metabolic and endocrine disorders which evolve into deficiency in insulin action and hyperglycemia. Physical exercise is considered the main intervention to prevent and control T2DM. Literature has suggested that circulating microRNAs (miRs) help to understand responses to physical activity among diabetic patients. Thus, the aim of this study was to analyze the acute effect of two interventions (strength and cardiovascular) on the total, whole blood circulating concentrations of miR-126, miR-146a and miR-155 in older adults with and without T2DM. A total of 23 male and female older adults (68.2?с5.3 years) participated in the trial, 13 of whom presented with controlled T2DM and 10 were nondiabetics. They underwent both interventions separately, performed with intensity from 60% to 70% of reserve heart rate. Glucose and miRs levels were quantified and compared across groups with baseline titers as covariables. Diabetic patients showed more reduction in serum blood glucose than nondiabetics, with a great magnitude of reduction after the strength training intervention, which was paralleled by a positive change of the whole blood circulating levels of miR-146a, but not of the other miRs. Our report supports evidence that miR-146a levels in peripheral blood leukocytes are negatively associated with a state of insulin resistance, which is suggested as a novel marker to trace response to antidiabetic interventions.",2017,"['Aged', 'Biomarkers', 'Blood Glucose', 'Diabetes Mellitus, Type 2/*metabolism/*rehabilitation', 'Female', 'Humans', 'Hypoglycemic Agents/therapeutic use', 'Insulin Resistance/physiology', 'Male', 'MicroRNAs/*biosynthesis', 'Middle Aged', 'Resistance Training/*methods']",28979106,hsa-mir-126,no,
"microRNA-935 is reduced in non-small cell lung cancer tissue, is linked to poor outcome, and acts on signal transduction mediator E2F7 and the AKT pathway.","BACKGROUND: A potential role for microRNA-935 (miR-935) has been identified in several cancers but not in non-small cell lung cancer (NSCLC). We hypothesised changes in miR-935 in NSCLC, and proposed mechanisms that may further explain its role in carcinogenesis. METHODS: NSCLC tissue and nearby normal tissue was obtained from 101 patients and was probed by qRT-PCR for miR-935 expression. The role of miR-935 and a potential target (signal transduction factor E2F7) was determined in cell lines by a dual luciferase assay. The function of miR-935 was investigated through metabolic activity (MTT) and transwell migration assays. Western blot and immunocytochemical assays examined protein expression level. Growth of miR-935 transfected or untransfected cells was measured via xenograft tumour formation. RESULTS: miR-935 was reduced in cancer tissue and was related to lymph node metastases, tumour node metastasis status and poor prognosis (all p < 0.02). In vitro, miR-935 suppressed cell proliferation, migration and invasion in NSCLC cells through targeting E2F7. Furthermore, E2F7 was upregulated in NSCLC tissue associated with poor prognosis (p = 0.0203) of NSCLC patients. miR-935 suppressed the epithelial-mesenchymal transition and AKT pathways in NSCLC and inhibited the tumour growth in vivo. CONCLUSION: Altered miR-935 in lung cancer biopsy tissue may be a diagnostic tool and could direct treatment. Involvement in carcinogenesis is implied by its suppression of the development of NSCLC via targeting E2F7 and inhibiting AKT pathway.",2019 Jan,"['A549 Cells', 'Aged', 'Animals', 'Carcinoma, Non-Small-Cell Lung/diagnosis/*genetics/mortality/pathology', 'Cell Line, Tumor', 'Cell Movement', 'Cell Proliferation', 'E2F7 Transcription Factor/*genetics/metabolism', 'Female', '*Gene Expression Regulation, Neoplastic', 'Humans', 'Lung Neoplasms/diagnosis/*genetics/mortality/pathology', 'Lymphatic Metastasis', 'Male', 'Mice', 'Mice, Nude', 'MicroRNAs/agonists/antagonists & inhibitors/*genetics/metabolism', 'Middle Aged', 'Neoplasm Staging', 'Oligoribonucleotides/genetics/metabolism', 'Prognosis', 'Proto-Oncogene Proteins c-akt/*genetics/metabolism', 'Signal Transduction', 'Survival Analysis', 'Tumor Burden', 'Xenograft Model Antitumor Assays']",30203720,hsa-mir-935,yes,
In Silico Identification of Human miR 3654 and its Targets Revealed its Involvement in Prostate Cancer Progression.,"BACKGROUND: MicroRNAs (miRNAs) are non-coding RNAs known to control a broad range of biological functions such as cellular proliferation, differentiation and programmed cell death. Recent reports showed that miRNAs can act as oncogenes or tumor suppressors, thereby, playing an important role in cancer initiation and progression. Moreover, we know that Expressed sequence tags (ESTs) are random single pass sequence reads, which displays the condition/tissue specific transcripts (coding and non-coding) of an organism. METHODS: In the present study, we have applied the bioinformatics approach to identify miRNA from prostate cancer using EST resource and its expressions were analyzed by quantitative reverse transcription PCR (qRT-PCR). RESULTS: Analysis of transcriptomics resource from the LNCaP cells revealed the presence of an EST encoding hsa-miR-3654. Presence of the premature candidate of miR-3654, demonstrates its expression in LNCaP cells. We further indentified that the expression level (Fold Induction) of miR-3654 in LNCaP was higher than the normal and androgen insensitive prostate cancer cell lines (PNT1A, PC-3). CONCLUSION: we have identified the miR-3654 involved in prostate cancer progression using computational approach and hypothesized that the down regulation of miR-3654 could be responsible for a solid tumor to get cancer stem-like cell phenotype. Further studies are required to investigate the molecular mechanisms behind the STAT3 mediated miR-3654 repression and the associated metastasis.",2016,"['Cell Line, Tumor', 'Computational Biology', '*Disease Progression', 'Expressed Sequence Tags', 'Gene Expression Regulation, Neoplastic/*genetics', 'Humans', 'Male', 'MicroRNAs/*genetics', 'Neoplastic Stem Cells/cytology/*pathology', 'Prostatic Neoplasms/*genetics/*pathology', 'Reverse Transcriptase Polymerase Chain Reaction', 'STAT3 Transcription Factor/*genetics']",27297584,hsa-mir-3654,no,
MicroRNA-532-5p is a prognostic marker and inhibits the aggressive phenotypes of osteosarcoma through targeting CXCL2.,"The dysregulation of miR-532-5p is involved in the development of several cancers. Nevertheless, the roles of miR-532-5p in osteosarcoma (OS) have yet to be illuminated. In the present study, we found that miR-532-5p was significantly downregulated in both OS tissues and cell lines. The low level of miR-532-5p was associated with advance clinical stage and poor overall survival in patient with OS. The functional experiments implied that upregulation of miR-532-5p restrained OS U2OS cell growth and metastatic ability in vitro; induced apoptosis, and impaired OS cell growth in vivo. Mechanistically, chemokine (C-X-C Motif) ligand 2 (CXCL2) was proved as a target gene of miR-532-5p. The inhibitory effects of miR-532-5p on OS cell were rescued by CXCL2 overexpression. Altogether, we demonstrated that miR-532-5p exerted tumor-inhibitory functions in OS cell via regulating CXCL2.",2020 Nov,"['Adolescent', 'Adult', 'Antagomirs/genetics/metabolism', 'Apoptosis/genetics', 'Base Pairing', 'Base Sequence', 'Bone Neoplasms/diagnosis/*genetics/metabolism/mortality', 'Bone and Bones/metabolism/pathology', 'Cell Line, Tumor', 'Cell Proliferation', 'Chemokine CXCL2/agonists/*genetics/metabolism', 'Female', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Lymphatic Metastasis', 'Male', 'MicroRNAs/agonists/antagonists & inhibitors/*genetics/metabolism', 'Middle Aged', 'Neoplasm Staging', 'Oligoribonucleotides/genetics/metabolism', 'Osteosarcoma/diagnosis/*genetics/metabolism/mortality', 'Phenotype', 'Plasmids/chemistry/metabolism', 'Prognosis', 'Signal Transduction', 'Survival Analysis']",32643867,hsa-mir-532,yes,
Decreased miR-106a inhibits glioma cell glucose uptake and proliferation by,"BACKGROUND: MiR-106a is frequently down-regulated in various types of human cancer. However the underlying mechanism of miR-106a involved in glioma remains elusive. METHODS: The association of miR-106a with glioma grade and patient survival was analyzed. The biological function and target of miR-106a were determined by bioinformatic analysis and cell experiments (Western blot, luciferase reporter, cell cycle, ntracellular ATP production and glucose uptake assay). Finally, rescue expression of its target SLC2A3 was used to test the role of SLC2A3 in miR-106a-mediated cell glycolysis and proliferation. RESULTS: Here we showed that miR-106a was a tumor suppressor miRNA was involved in GBM cell glucose uptake and proliferation. Decreased miR-106a in GBM tissues and conferred a poor survival of GBM patients. SLC2A3 was identified as a core target of miR-106a in GBM cells. Inhibition of SLC2A3 by miR-106a attenuated cell proliferation and inhibited glucose uptake. In addition, for each biological process we identified ontology-associated transcripts that significantly correlated with SLC2A3 expression. Finally, the expression of SLC2A3 largely abrogated miR-106a-mediated cell proliferation and glucose uptake in GBM cells. CONCLUSIONS: Taken together, miR-106a and SLC2A3 could be potential therapeutic approaches for GBM.",2013,"['Base Pairing', 'Base Sequence', 'Cell Line, Tumor', 'Cell Proliferation', 'Cluster Analysis', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'Glioblastoma/*genetics/*metabolism/mortality', 'Glucose/*metabolism', 'Glucose Transporter Type 3/*genetics/metabolism', 'Glycolysis', 'Humans', 'MicroRNAs/*genetics/metabolism', 'Prognosis', 'RNA Interference']",24124917,hsa-mir-106a,yes,
